Spot_Price,Strike_Price,Maturity,risk_free_interest,Volatility,Call_Premium,Monte_Carlo_Value
130.6,140.0,300,0.01,0.41,11.45,15.9
130.6,120.0,146,0.01,0.42,21.4,19.4
130.6,125.0,146,0.01,0.4,17.7,16.11
130.6,130.0,146,0.01,0.39,13.65,13.39
130.6,135.0,146,0.01,0.38,10.88,10.73
130.6,140.0,146,0.01,0.37,8.76,8.67
177.48,160.0,335,0.01,0.66,52.28,51.32
177.48,165.0,335,0.01,0.65,50.4,49.26
177.48,170.0,335,0.01,0.65,51.46,47.51
177.48,175.0,335,0.01,0.64,48.75,44.12
177.48,180.0,335,0.01,0.64,42.5,42.21
177.48,185.0,335,0.01,0.63,39.55,40.06
177.48,190.0,335,0.01,0.63,45.11,38.42
177.48,195.0,335,0.01,0.62,37.6,35.82
177.48,160.0,118,0.01,0.66,36.1,35.08
177.48,165.0,118,0.01,0.65,32.7,32.09
177.48,170.0,118,0.01,0.64,35.1,29.15
177.48,175.0,118,0.01,0.64,26.84,27.05
177.48,180.0,118,0.01,0.63,24.55,24.49
177.48,185.0,118,0.01,0.63,22.6,22.33
177.48,190.0,118,0.01,0.63,20.8,20.6
177.48,195.0,118,0.01,0.62,19.6,18.44
177.48,160.0,181,0.01,0.63,38.5,39.43
177.48,165.0,181,0.01,0.62,35.5,36.21
177.48,170.0,181,0.01,0.62,33.25,34.6
177.48,175.0,181,0.01,0.61,32.45,31.53
177.48,180.0,181,0.01,0.61,29.1,29.96
177.48,185.0,181,0.01,0.6,27.0,27.19
177.48,190.0,181,0.01,0.6,25.95,25.09
177.48,195.0,181,0.01,0.6,22.8,23.3
177.48,160.0,209,0.01,0.65,46.15,42.52
177.48,165.0,209,0.01,0.65,43.88,40.35
177.48,170.0,209,0.01,0.64,39.21,37.71
177.48,175.0,209,0.01,0.63,35.9,34.73
177.48,180.0,209,0.01,0.64,35.05,33.46
177.48,185.0,209,0.01,0.63,30.0,30.63
177.48,190.0,209,0.01,0.62,37.1,28.27
177.48,195.0,209,0.01,0.62,27.5,27.16
177.48,160.0,90,0.01,0.61,30.91,30.67
177.48,165.0,90,0.01,0.61,27.45,27.56
177.48,170.0,90,0.01,0.6,24.85,24.94
177.48,175.0,90,0.01,0.59,22.36,21.87
177.48,180.0,90,0.01,0.59,19.53,19.58
177.48,185.0,90,0.01,0.59,17.53,17.7
177.48,190.0,90,0.01,0.58,15.55,15.3
177.48,195.0,90,0.01,0.58,14.7,13.81
844.5,800.0,335,0.01,0.31,122.18,124.94
844.5,860.0,335,0.01,0.32,92.5,99.79
844.5,880.0,335,0.01,0.36,77.0,105.2
844.5,800.0,181,0.01,0.37,79.25,112.24
844.5,820.0,181,0.01,0.37,73.5,101.33
844.5,830.0,181,0.01,0.35,69.0,91.82
844.5,840.0,181,0.01,0.35,64.0,86.25
844.5,850.0,181,0.01,0.35,57.5,81.95
844.5,870.0,181,0.01,0.34,48.8,71.41
844.5,880.0,181,0.01,0.34,46.2,67.69
844.5,810.0,90,0.01,0.36,47.4,79.18
844.5,820.0,90,0.01,0.35,53.0,71.35
844.5,830.0,90,0.01,0.34,39.26,64.26
844.5,840.0,90,0.01,0.34,51.1,60.34
844.5,860.0,90,0.01,0.33,42.7,49.1
844.5,880.0,90,0.01,0.32,34.53,39.48
844.5,900.0,90,0.01,0.32,30.2,32.24
844.5,920.0,90,0.01,0.31,22.5,25.28
844.5,800.0,146,0.01,0.37,73.0,103.0
844.5,830.0,146,0.01,0.31,62.9,74.52
844.5,840.0,146,0.01,0.36,53.3,80.39
844.5,860.0,146,0.01,0.35,65.4,68.88
844.5,880.0,146,0.01,0.35,37.2,61.51
844.5,900.0,146,0.01,0.34,25.9,51.73
844.5,920.0,146,0.01,0.33,42.1,42.81
197.91,180.0,181,0.01,0.51,38.4,37.62
197.91,185.0,181,0.01,0.5,35.1,34.09
197.91,190.0,181,0.01,0.5,32.05,31.39
197.91,195.0,181,0.01,0.5,32.7,29.39
197.91,200.0,181,0.01,0.49,28.21,26.4
197.91,210.0,181,0.01,0.48,21.45,22.13
197.91,180.0,209,0.01,0.51,40.15,39.2
197.91,185.0,209,0.01,0.51,40.15,36.91
197.91,190.0,209,0.01,0.5,33.6,33.85
197.91,195.0,209,0.01,0.5,31.45,31.35
197.91,200.0,209,0.01,0.49,28.2,28.59
197.91,210.0,209,0.01,0.48,27.2,24.25
197.91,180.0,426,0.01,0.53,46.1,53.05
197.91,185.0,426,0.01,0.52,44.9,49.93
197.91,190.0,426,0.01,0.52,46.85,47.25
197.91,195.0,426,0.01,0.52,47.45,46.16
197.91,200.0,426,0.01,0.51,44.8,43.41
197.91,210.0,426,0.01,0.5,36.55,38.8
197.91,180.0,146,0.01,0.52,34.53,35.09
197.91,185.0,146,0.01,0.51,33.07,31.91
197.91,190.0,146,0.01,0.51,28.77,29.47
197.91,195.0,146,0.01,0.5,26.4,26.59
197.91,200.0,146,0.01,0.5,23.35,24.2
197.91,210.0,146,0.01,0.49,23.0,19.91
492.52,450.0,335,0.01,0.4,88.1,96.75
492.52,460.0,335,0.01,0.39,86.8,90.31
492.52,470.0,335,0.01,0.38,52.7,84.13
492.52,480.0,335,0.01,0.37,53.6,76.69
492.52,490.0,335,0.01,0.34,47.7,67.82
492.52,500.0,335,0.01,0.36,63.0,66.32
492.52,510.0,335,0.01,0.35,53.0,60.44
492.52,520.0,335,0.01,0.35,60.95,56.47
492.52,530.0,335,0.01,0.35,37.1,52.88
492.52,540.0,335,0.01,0.31,29.6,41.34
492.52,450.0,118,0.01,0.38,42.9,66.47
492.52,470.0,118,0.01,0.36,49.99,52.2
492.52,480.0,118,0.01,0.34,46.7,44.98
492.52,490.0,118,0.01,0.32,39.5,37.69
492.52,500.0,118,0.01,0.31,33.01,31.89
492.52,520.0,118,0.01,0.31,23.5,24.26
492.52,450.0,272,0.01,0.38,87.7,86.6
492.52,480.0,272,0.01,0.36,61.2,67.93
492.52,490.0,272,0.01,0.35,66.15,61.82
492.52,500.0,272,0.01,0.35,58.35,57.61
492.52,520.0,272,0.01,0.34,45.75,47.87
492.52,540.0,272,0.01,0.33,41.8,38.63
492.52,450.0,90,0.01,0.39,60.05,62.42
492.52,460.0,90,0.01,0.38,52.62,55.07
492.52,470.0,90,0.01,0.34,55.6,45.75
492.52,480.0,90,0.01,0.33,39.1,38.82
492.52,490.0,90,0.01,0.32,33.2,32.88
492.52,500.0,90,0.01,0.31,28.0,27.47
492.52,510.0,90,0.01,0.31,22.6,23.11
492.52,460.0,146,0.01,0.38,53.33,64.71
492.52,470.0,146,0.01,0.37,55.32,57.66
492.52,480.0,146,0.01,0.35,52.1,50.29
492.52,490.0,146,0.01,0.34,41.9,43.88
492.52,500.0,146,0.01,0.33,35.1,38.14
492.52,510.0,146,0.01,0.33,32.55,34.74
492.52,520.0,146,0.01,0.32,31.6,29.11
492.52,540.0,146,0.01,0.32,20.8,22.74
52.06,47.5,335,0.01,0.57,14.2,13.27
52.06,50.0,335,0.01,0.55,12.55,11.84
52.06,52.5,335,0.01,0.54,10.75,10.58
52.06,55.0,335,0.01,0.53,9.5,9.51
52.06,47.5,272,0.01,0.55,14.25,11.88
52.06,50.0,272,0.01,0.54,11.45,10.62
52.06,52.5,272,0.01,0.53,9.86,9.37
52.06,55.0,272,0.01,0.52,9.14,8.31
52.06,47.5,181,0.01,0.54,10.48,10.17
52.06,50.0,181,0.01,0.53,8.4,8.73
52.06,52.5,181,0.01,0.52,7.3,7.48
52.06,55.0,181,0.01,0.51,6.05,6.38
52.06,47.5,146,0.01,0.55,11.67,9.57
52.06,50.0,146,0.01,0.54,7.85,8.1
52.06,52.5,146,0.01,0.53,6.5,6.73
52.06,55.0,146,0.01,0.52,5.35,5.68
693.36,640.0,335,0.01,0.4,125.0,133.79
693.36,660.0,335,0.01,0.38,112.0,118.08
693.36,680.0,335,0.01,0.38,104.5,108.93
693.36,700.0,335,0.01,0.37,93.7,96.31
693.36,720.0,335,0.01,0.36,83.43,86.12
693.36,730.0,335,0.01,0.36,101.0,83.1
693.36,740.0,335,0.01,0.36,74.05,79.11
693.36,750.0,335,0.01,0.35,71.0,72.71
693.36,760.0,335,0.01,0.36,100.15,71.44
693.36,660.0,118,0.01,0.35,61.9,73.46
693.36,680.0,118,0.01,0.33,49.44,59.21
693.36,690.0,118,0.01,0.33,54.13,54.75
693.36,700.0,118,0.01,0.33,47.7,49.77
693.36,710.0,118,0.01,0.32,43.7,43.64
693.36,720.0,118,0.01,0.32,39.43,39.58
693.36,730.0,118,0.01,0.31,35.0,34.37
693.36,740.0,118,0.01,0.31,31.2,30.66
693.36,750.0,118,0.01,0.31,27.46,27.98
693.36,760.0,118,0.01,0.31,24.3,24.98
693.36,630.0,181,0.01,0.38,104.7,107.5
693.36,640.0,181,0.01,0.37,95.73,100.59
693.36,650.0,181,0.01,0.36,92.14,93.22
693.36,660.0,181,0.01,0.36,83.3,88.12
693.36,670.0,181,0.01,0.36,77.0,82.7
693.36,680.0,181,0.01,0.36,72.58,77.35
693.36,690.0,181,0.01,0.35,68.09,71.11
693.36,700.0,181,0.01,0.34,62.39,64.94
693.36,710.0,181,0.01,0.34,49.43,60.2
693.36,720.0,181,0.01,0.33,51.58,54.49
693.36,730.0,181,0.01,0.33,48.9,50.24
693.36,740.0,181,0.01,0.33,44.34,46.92
693.36,750.0,181,0.01,0.32,35.0,41.39
693.36,760.0,181,0.01,0.32,36.7,38.95
693.36,630.0,90,0.01,0.38,134.3,88.36
693.36,640.0,90,0.01,0.37,79.23,80.62
693.36,650.0,90,0.01,0.36,72.13,73.54
693.36,660.0,90,0.01,0.35,65.5,66.14
693.36,670.0,90,0.01,0.34,58.0,59.74
693.36,680.0,90,0.01,0.33,42.53,52.48
693.36,690.0,90,0.01,0.33,48.0,47.91
693.36,700.0,90,0.01,0.32,42.4,41.56
693.36,710.0,90,0.01,0.32,37.3,37.52
693.36,720.0,90,0.01,0.32,32.25,33.38
693.36,730.0,90,0.01,0.31,27.9,28.47
693.36,740.0,90,0.01,0.31,23.5,24.95
693.36,750.0,90,0.01,0.31,20.79,21.85
693.36,630.0,146,0.01,0.37,130.35,99.73
693.36,640.0,146,0.01,0.36,145.14,92.76
693.36,660.0,146,0.01,0.35,131.24,79.57
693.36,670.0,146,0.01,0.35,72.0,73.54
693.36,680.0,146,0.01,0.34,55.53,66.73
693.36,690.0,146,0.01,0.34,60.86,61.83
693.36,700.0,146,0.01,0.33,55.33,56.24
693.36,710.0,146,0.01,0.33,50.5,51.6
693.36,720.0,146,0.01,0.32,46.0,45.35
693.36,730.0,146,0.01,0.32,41.2,41.11
693.36,740.0,146,0.01,0.32,38.1,38.6
693.36,750.0,146,0.01,0.31,27.44,34.05
693.36,760.0,146,0.01,0.31,30.08,29.72
507.42,460.0,209,0.01,0.31,73.8,74.66
104.46,95.0,335,0.01,0.49,27.4,23.94
104.46,97.5,335,0.01,0.46,13.0,21.64
104.46,100.0,335,0.01,0.48,22.85,21.21
104.46,105.0,335,0.01,0.46,21.75,18.31
104.46,110.0,335,0.01,0.45,15.85,15.99
104.46,95.0,118,0.01,0.46,20.75,16.05
104.46,97.5,118,0.01,0.45,19.4,14.33
104.46,100.0,118,0.01,0.44,12.85,12.75
104.46,105.0,118,0.01,0.42,9.55,9.84
104.46,110.0,118,0.01,0.41,7.2,7.55
104.46,95.0,181,0.01,0.47,22.45,18.62
104.46,97.5,181,0.01,0.46,16.9,17.14
104.46,100.0,181,0.01,0.46,15.5,15.73
104.46,105.0,181,0.01,0.44,12.65,12.88
104.46,110.0,181,0.01,0.43,10.47,10.63
104.46,100.0,209,0.01,0.45,17.23,16.53
104.46,95.0,90,0.01,0.46,15.7,14.78
104.46,97.5,90,0.01,0.45,13.02,13.08
104.46,100.0,90,0.01,0.44,10.9,11.38
104.46,105.0,90,0.01,0.42,9.5,8.59
104.46,110.0,90,0.01,0.41,7.22,6.29
126.43,115.0,335,0.01,0.56,31.35,32.15
126.43,120.0,335,0.01,0.57,27.7,30.26
126.43,125.0,335,0.01,0.54,25.64,27.02
126.43,130.0,335,0.01,0.54,23.62,24.78
126.43,135.0,335,0.01,0.54,21.55,22.96
126.43,115.0,118,0.01,0.52,20.05,20.77
126.43,120.0,118,0.01,0.51,17.79,17.88
126.43,125.0,118,0.01,0.5,15.1,15.07
126.43,130.0,118,0.01,0.49,12.8,12.86
126.43,135.0,118,0.01,0.48,9.85,10.48
126.43,115.0,181,0.01,0.53,24.17,24.35
126.43,120.0,181,0.01,0.52,20.81,21.93
126.43,125.0,181,0.01,0.51,19.18,18.81
126.43,130.0,181,0.01,0.5,16.84,16.51
126.43,135.0,181,0.01,0.5,14.36,14.58
126.43,115.0,90,0.01,0.5,18.7,18.79
126.43,120.0,90,0.01,0.49,14.78,15.62
126.43,125.0,90,0.01,0.48,12.9,12.72
126.43,130.0,90,0.01,0.47,10.15,10.35
126.43,135.0,90,0.01,0.46,8.3,8.19
126.43,115.0,363,0.01,0.57,32.15,33.81
126.43,120.0,363,0.01,0.57,30.38,31.77
126.43,125.0,363,0.01,0.56,27.81,28.9
126.43,130.0,363,0.01,0.55,25.25,26.58
126.43,135.0,363,0.01,0.54,22.71,24.27
130.6,120.0,335,0.01,0.46,27.4,27.95
130.6,125.0,335,0.01,0.44,30.0,24.99
130.6,130.0,335,0.01,0.43,19.6,21.87
130.6,135.0,335,0.01,0.42,19.8,19.42
130.6,140.0,335,0.01,0.41,19.8,17.12
130.6,120.0,181,0.01,0.42,26.85,20.89
130.6,122.5,181,0.01,0.42,19.4,19.79
130.6,125.0,181,0.01,0.41,19.23,17.84
130.6,127.5,181,0.01,0.4,20.9,16.43
130.6,130.0,181,0.01,0.4,15.3,15.12
130.6,132.5,181,0.01,0.39,13.5,13.76
130.6,135.0,181,0.01,0.38,12.5,12.26
130.6,137.5,181,0.01,0.38,11.5,11.35
130.6,140.0,181,0.01,0.37,9.9,10.06
130.6,142.5,181,0.01,0.37,9.3,9.19
130.6,120.0,209,0.01,0.44,24.0,22.87
130.6,125.0,209,0.01,0.42,19.1,19.31
130.6,135.0,209,0.01,0.38,12.5,13.26
130.6,140.0,209,0.01,0.39,13.68,11.83
130.6,120.0,300,0.01,0.45,25.4,26.4
130.6,125.0,300,0.01,0.44,26.3,23.58
130.6,130.0,300,0.01,0.4,16.6,19.54
130.6,135.0,300,0.01,0.53,19.9,23.26
130.6,140.0,300,0.01,0.41,11.45,15.95
130.6,120.0,146,0.01,0.42,21.4,19.4
130.6,125.0,146,0.01,0.4,17.7,16.24
130.6,130.0,146,0.01,0.39,13.65,13.25
130.6,135.0,146,0.01,0.38,10.88,10.87
130.6,140.0,146,0.01,0.37,8.76,8.69
194.65,180.0,335,0.01,0.4,19.7,37.02
194.65,190.0,335,0.01,0.32,25.5,26.49
194.65,195.0,335,0.01,0.33,24.0,25.29
194.65,200.0,335,0.01,0.31,21.6,21.52
194.65,180.0,181,0.01,0.43,26.73,31.05
194.65,185.0,181,0.01,0.41,26.66,27.45
194.65,190.0,181,0.01,0.34,17.33,21.19
194.65,195.0,181,0.01,0.32,15.0,17.8
194.65,210.0,181,0.01,0.32,8.2,11.66
194.65,185.0,237,0.01,0.37,29.4,28.32
194.65,190.0,237,0.01,0.34,25.2,23.86
194.65,195.0,237,0.01,0.33,20.0,21.14
194.65,200.0,237,0.01,0.32,15.3,18.17
194.65,185.0,209,0.01,0.39,28.3,27.98
194.65,180.0,146,0.01,0.41,21.7,27.79
194.65,185.0,146,0.01,0.39,19.0,24.21
194.65,190.0,146,0.01,0.36,19.35,20.26
194.65,195.0,146,0.01,0.32,13.9,15.91
194.65,200.0,146,0.01,0.31,10.6,13.26
200.07,190.0,335,0.01,0.44,37.9,38.64
200.07,195.0,335,0.01,0.52,45.5,42.22
200.07,200.0,335,0.01,0.49,46.3,37.81
200.07,210.0,335,0.01,0.51,31.17,35.41
200.07,220.0,335,0.01,0.47,34.0,28.84
200.07,210.0,272,0.01,0.46,24.27,27.9
200.07,185.0,181,0.01,0.5,29.5,35.62
200.07,190.0,181,0.01,0.48,28.0,31.74
200.07,195.0,181,0.01,0.46,28.8,28.38
200.07,200.0,181,0.01,0.47,26.0,26.6
200.07,210.0,181,0.01,0.44,23.5,21.04
200.07,220.0,181,0.01,0.44,27.2,17.41
200.07,200.0,237,0.01,0.47,26.66,30.55
200.07,210.0,237,0.01,0.5,23.5,28.48
200.07,220.0,237,0.01,0.44,33.5,21.16
200.07,185.0,146,0.01,0.38,40.24,27.47
200.07,195.0,146,0.01,0.45,26.52,25.41
200.07,210.0,146,0.01,0.43,17.37,17.84
200.07,220.0,146,0.01,0.44,12.8,14.99
71.03,65.0,335,0.01,0.56,18.95,17.71
71.03,70.0,335,0.01,0.54,14.8,15.16
71.03,75.0,335,0.01,0.52,12.2,12.69
71.03,65.0,118,0.01,0.52,11.27,11.47
71.03,70.0,118,0.01,0.51,8.7,8.8
71.03,75.0,118,0.01,0.49,6.17,6.38
71.03,65.0,181,0.01,0.53,13.35,13.54
71.03,70.0,181,0.01,0.51,10.5,10.8
71.03,75.0,181,0.01,0.5,8.0,8.56
71.03,65.0,209,0.01,0.52,13.45,14.02
71.03,70.0,209,0.01,0.51,11.08,11.61
71.03,75.0,209,0.01,0.49,8.55,9.09
71.03,65.0,90,0.01,0.53,10.63,10.74
71.03,70.0,90,0.01,0.51,7.83,7.73
71.03,75.0,90,0.01,0.5,5.3,5.47
78.16,75.0,335,0.01,0.44,14.4,14.73
78.16,80.0,335,0.01,0.43,11.75,12.49
78.16,85.0,335,0.01,0.41,9.6,9.9
78.16,72.0,181,0.01,0.42,12.3,12.47
78.16,74.0,181,0.01,0.41,11.0,11.07
78.16,75.0,181,0.01,0.4,10.4,10.39
78.16,76.0,181,0.01,0.4,10.0,9.91
78.16,78.0,181,0.01,0.39,8.5,8.68
78.16,80.0,181,0.01,0.38,7.65,7.7
78.16,82.0,181,0.01,0.37,6.5,6.6
78.16,84.0,181,0.01,0.37,5.6,5.92
78.16,85.0,181,0.01,0.37,5.18,5.6
78.16,75.0,209,0.01,0.43,11.6,11.84
78.16,80.0,209,0.01,0.42,10.3,9.36
78.16,85.0,209,0.01,0.4,6.6,6.91
78.16,75.0,90,0.01,0.38,7.6,7.54
78.16,80.0,90,0.01,0.35,4.8,4.67
78.16,85.0,90,0.01,0.34,2.8,2.79
78.16,75.0,146,0.01,0.4,9.5,9.41
78.16,80.0,146,0.01,0.38,7.1,6.86
78.16,85.0,146,0.01,0.37,4.8,4.81
